Text,Tag,Reason
"“Thank you for calling Blend and Suns. If this is an emergency, press one. If it's nonemergency, press two.”",Missed Call,None
"“Thank you for calling Blind and Sons. If this is an emergency, press one. If it's nonemergency, press two. Your call has been forwarded to the voicemail for Blind and Sons. No.”",Missed Call,None
"“Thank you for calling Blend and Sons. If this is an emergency, press one. If it's nonemergency, press two. Thank you for calling Blind Insuns. Your call is very important to us. Please stay on the line and we will be right with you. Sam Blends and Sons. This is Melanie. Hi, Melanie. I just called you a few minutes ago about the plumbing issue. What's your name? I didn't talk to you. Maybe I didn't talk to you. I was looking for emergency plumbing help. Let's see. I only see one message here for plumbing. Brandy. No, I ended up I was going to try to call somebody else. I need to have someone call me tomorrow if they can. Can I get a message, too? Yeah, I have water pouring out of my ceiling. Yeah, absolutely. Give me 1 second. Okay. Plumber have water pouring out tomorrow. Okay, I got the shut, Valvon, but I've got a major issue. I got you. Okay. What's your name? Melissa. Melissa, callback number 614-266-9817. And the address where you need service? 4016 Pellham Street. Pelham. And that's northeast, and it's Canton. Let me actually put my furnace and air conditioning in here. I got you. What's the zip there? 44714. Okay, I got you. I'll get it over to him right away. All right. I appreciate that. Thank you. You're welcome. All right. Bye.
”",New Customer -  Lead Not Booked,CSR Needs to Call Customer Back
"“Thank you for calling Blend and Sons. If this is an emergency, press one. If it's nonemergency, press. Thank you for calling blendin Sons. Your call is very important to us. Please stay on the line and we will be right with you. Hi, I am calling with some issues with plumbing. Is that something you have somebody that can help me out with emergency? Give me one moment, please. Let me see here. I'm sorry. Give me one moment. Okay. I'm very sorry. We do not have an on call plumber on call this weekend. But we can have the office give you a call back tomorrow. Okay? I mean, I've got water pouring out of my ceiling. How early would they be able to call me? I think I got a chance. Go ahead. Okay, their office hours tomorrow are 08:00, A.m. To three. Okay. If I can't find somebody, I'll call early in the morning. Okay. Yes, ma'am. All right. Thank you. Thank you. Bye.
”",Other,None
"“Thank you for calling Blend and Sons. If this is an emergency, press one. If it's nonemergency, press. Thank you for calling blendin Sons. Your call is very important to us. Please stay on the line and we will be right with you. Hi, I am calling with some issues with plumbing. Is that something you have somebody that can help me out with emergency? Give me one moment, please. Let me see here. I'm sorry. Give me one moment. Okay. I'm very sorry. We do not have an on call plumber on call this weekend. But we can have the office give you a call back tomorrow. Okay? I mean, I've got water pouring out of my ceiling. How early would they be able to call me? I think I got a chance. Go ahead. Okay, their office hours tomorrow are 08:00, A.m. To three. Okay. If I can't find somebody, I'll call early in the morning. Okay. Yes, ma'am. All right. Thank you. Thank you. Bye.”",Other,None
"“Thank you for calling Blend and Sons. If this is an emergency, press one. If it's nonemergency, press two.”",Missed Call,None
"“Thank you for calling Blend and Sons. If this is an emergency, press one. If it's nonemergency, press two.”",Missed Call,None
"“Thank you for calling Blend and Sons. If this is an emergency, press one. If it's nonemergency, press two. Blind and Sons. This is Candy. Hi, my name is Chris Glass. Last summer, or maybe nine months ago, you guys put a new air conditioner in at our place, and you've been out to our house, I think, three or four times this year so far, and our air conditioner is frozen over again, so we are very unhappy. One momentum. Okay, sir, and what is the street address? 6869 St. Regis Boulevard. Your zip code, please. Do what the zip code. 44236. Is that Boston Heights or Hudson? Hudson. Okay, sir, and is your phone number 330-389-3513 a good number to reach you? Yes, it is. Okay, sir. And they were not at your home today, correct? No. Okay. Would you like us to page an on call tech now? It's up to you guys. Pardon me? I only want you to come out if you're replaced. I'm just up to you. I'm the middle guy, I guess. So is that what I send it? Am I sending it to the I don't know. I'm sending it either to the office or I'm sending it to on call dispatch. So it's up to you which way I send it. What would be the it's up to me. I can't give any advice, sir. The on call dispatch will call me, I guess, or come out. Yes, dispatch will call and then they'll go from there. Yes, I want to talk to someone there as soon as possible. So you'll do that route? All right. One moment. All okay, sir. So I've sent that over, and someone should be in touch soon. Okay. All right, thank you. Thank you for calling. Have a great night. Bye.
”",Existing Customer -  Lead Not Booked,CSR Needs to Call Customer Back
"“Thank you for calling Blend and Sons. If this is an emergency, press one. If it's nonemergency, press two. It all right.”",Missed Call,None
"“Thank you for calling Blind and Sons. If this is an emergency, press one. If it's nonemergency, press two. Your call has been forwarded to the Voicemail for Blind and Sons. No one is available to take your call. At the tone, please record your message. When you finished recording, you may up or press the pound key for more options. Hello. My name is Anna. I'm looking for air duct cleaning. Quote. If you can, give me a call back at 440-850-6580. Thank you.”",Voicemail - Lead,None
